t,mox
[s],[g/s]
1.77,3.185605
1.775,3.175049
1.78,3.182087
1.785,3.19968
1.79,3.185605
1.795,3.192642
1.8,3.178568
1.805,3.160975
1.81,3.175049
1.815,3.185605
1.82,3.182087
1.825,3.19968
1.83,3.143382
1.835,3.189124
1.84,3.185605
1.845,3.160975
1.85,3.185605
1.855,3.168012
1.86,3.171531
1.865,3.196161
1.87,3.150419
1.875,3.196161
1.88,3.175049
1.885,3.160975
1.89,3.210236
1.895,3.168012
1.9,3.168012
1.905,3.185605
1.91,3.157456
1.915,3.168012
1.92,3.175049
1.925,3.160975
1.93,3.189124
1.935,3.157456
1.94,3.182087
1.945,3.189124
1.95,3.160975
1.955,3.150419
1.96,3.189124
1.965,3.178568
1.97,3.164493
1.975,3.168012
1.98,3.185605
1.985,3.178568
1.99,3.150419
1.995,3.168012
2,3.196161
2.005,3.178568
2.01,3.160975
2.015,3.192642
2.02,3.185605
2.025,3.143382
2.03,3.171531
2.035,3.189124
2.04,3.139863
2.045,3.178568
2.05,3.196161
2.055,3.153938
2.06,3.182087
2.065,3.178568
2.07,3.157456
2.075,3.178568
2.08,3.182087
2.085,3.160975
2.09,3.175049
2.095,3.210236
2.1,3.178568
2.105,3.150419
2.11,3.178568
2.115,3.192642
2.12,3.182087
2.125,3.143382
2.13,3.157456
2.135,3.178568
2.14,3.196161
2.145,3.196161
2.15,3.150419
2.155,3.178568
2.16,3.196161
2.165,3.168012
2.17,3.153938
2.175,3.189124
2.18,3.175049
2.185,3.168012
2.19,3.171531
2.195,3.192642
2.2,3.192642
2.205,3.160975
2.21,3.178568
2.215,3.171531
2.22,3.168012
2.225,3.157456
2.23,3.171531
2.235,3.182087
2.24,3.185605
2.245,3.160975
2.25,3.175049
2.255,3.182087
2.26,3.175049
2.265,3.139863
2.27,3.175049
2.275,3.189124
2.28,3.175049
2.285,3.178568
2.29,3.139863
2.295,3.175049
2.3,3.196161
2.305,3.143382
2.31,3.178568
2.315,3.192642
2.32,3.171531
2.325,3.178568
2.33,3.210236
2.335,3.164493
2.34,3.175049
2.345,3.185605
2.35,3.171531
2.355,3.153938
2.36,3.178568
2.365,3.182087
2.37,3.160975
2.375,3.171531
